Designator,Mid X,Mid Y,Rotation,Layer
C1,128.34,-6.86,0.0,top
C10,129.39,-32.080365,225.0,top
C100,38.67,-13.77,135.0,top
C101,40.08,-15.68,135.0,top
C102,41.78,-17.37,135.0,top
C103,46.25,-16.04,180.0,top
C104,43.46,-19.11,135.0,top
C105,45.17,-20.86,135.0,top
C106,46.97,-22.72,135.0,top
C107,48.61,-24.41,135.0,top
C108,50.13,-26.04,135.0,top
C109,51.43,-27.34,135.0,top
C11,126.92,-34.72,225.0,top
C110,51.89,-28.94,225.0,top
C111,50.24,-32.45,90.0,top
C112,50.31,-37.4,90.0,top
C113,50.31,-42.4,90.0,top
C114,56.24,-47.05,225.0,top
C115,60.84,-45.92,225.0,top
C116,60.97,-47.88,180.0,top
C117,63.22,-48.44,90.0,top
C118,67.64,-54.3,180.0,top
C119,63.0,-52.35,135.0,top
C12,124.39,-37.28,225.0,top
C120,60.68,-54.0,90.0,top
C121,63.22,-55.94,90.0,top
C122,61.04,-56.89,0.0,top
C123,59.52,-61.29,180.0,top
C124,58.16,-57.2,0.0,top
C125,56.15,-57.2,0.0,top
C126,52.9,-60.75,180.0,top
C127,51.66,-64.0,90.0,top
C128,51.65,-68.2,90.0,top
C129,55.45,-69.99,180.0,top
C13,121.89,-39.86,225.0,top
C130,51.65,-70.05,90.0,top
C131,62.3,-70.84,0.0,top
C132,59.49,-66.44,0.0,top
C133,65.79,-67.76,225.0,top
C134,65.25,-71.2,0.0,top
C135,57.51,-71.21,0.0,top
C136,53.5,-71.21,0.0,top
C137,51.72,-76.23,45.0,top
C138,48.56,-79.43,45.0,top
C139,43.68,-82.57,225.0,top
C14,140.38,-37.98,225.0,top
C140,44.45,-83.56,45.0,top
C141,41.72,-86.43,45.0,top
C142,38.93,-89.23,45.0,top
C143,43.96,-79.2,90.0,top
C144,43.96,-76.75,90.0,top
C145,45.8,-71.21,0.0,top
C146,45.75,-69.94,180.0,top
C147,47.6,-65.9,270.0,top
C148,43.7,-70.0,180.0,top
C149,40.54,-68.9,135.0,top
C15,138.58,-39.78,225.0,top
C150,42.38,-64.48,45.0,top
C151,44.52,-62.28,45.0,top
C152,46.61,-60.14,45.0,top
C153,45.75,-56.75,0.0,top
C154,43.5,-60.34,180.0,top
C155,43.38,-56.23,0.0,top
C156,47.79,-55.67,225.0,top
C157,53.09,-52.72,225.0,top
C158,48.82,-49.49,45.0,top
C159,42.93,-53.23,135.0,top
C16,136.78,-41.61,225.0,top
C160,40.36,-51.7,180.0,top
C161,37.81,-51.71,180.0,top
C162,36.01,-45.15,90.0,top
C163,36.0,-40.4,90.0,top
C164,43.09,-34.25,180.0,top
C165,36.97,-35.58,225.0,top
C166,33.12,-34.72,225.0,top
C167,31.66,-33.92,225.0,top
C168,28.95,-33.9,180.0,top
C169,25.1,-33.9,180.0,top
C17,135.02,-43.43,225.0,top
C170,20.2,-33.89,180.0,top
C171,15.2,-33.94,180.0,top
C172,10.96,-33.95,180.0,top
C173,9.58,-35.38,225.0,top
C174,7.04,-37.98,225.0,top
C175,4.46,-39.57,180.0,top
C176,7.44,-42.73,135.0,top
C177,10.47,-45.82,135.0,top
C178,13.48,-48.88,135.0,top
C179,16.42,-51.94,135.0,top
C18,133.22,-45.22,225.0,top
C180,14.98,-42.92,135.0,top
C181,17.72,-45.73,135.0,top
C182,20.42,-48.52,135.0,top
C183,24.8,-51.69,180.0,top
C184,23.45,-57.15,180.0,top
C185,19.82,-63.22,225.0,top
C186,32.44,-59.51,270.0,top
C187,32.5,-54.9,270.0,top
C188,32.46,-49.86,270.0,top
C189,32.44,-43.35,270.0,top
C19,131.57,-46.97,225.0,top
C190,34.44,-51.64,180.0,top
C191,37.8,-56.69,180.0,top
C192,37.8,-62.15,180.0,top
C193,36.68,-65.34,180.0,top
C194,38.07,-71.63,315.0,top
C195,33.13,-66.59,315.0,top
C196,33.29,-73.77,45.0,top
C197,31.73,-75.43,45.0,top
C198,30.19,-76.96,45.0,top
C199,28.66,-78.55,45.0,top
C2,130.84,-6.87,0.0,top
C20,126.75,-51.05,180.0,top
C200,27.11,-80.15,45.0,top
C201,25.53,-81.78,45.0,top
C202,23.95,-83.36,45.0,top
C203,22.44,-84.97,45.0,top
C204,19.4,-89.24,180.0,top
C205,14.77,-92.47,225.0,top
C206,0.56,-98.95,180.0,top
C207,2.81,-98.94,180.0,top
C208,6.41,-98.94,180.0,top
C209,12.94,-94.37,225.0,top
C21,121.2,-51.06,180.0,top
C210,21.89,-89.63,135.0,top
C211,26.9,-93.74,180.0,top
C212,32.9,-93.74,180.0,top
C213,40.0,-103.14,180.0,top
C214,50.47,-100.03,225.0,top
C215,53.88,-96.52,225.0,top
C216,57.32,-92.92,225.0,top
C217,60.87,-89.33,225.0,top
C218,64.13,-86.0,225.0,top
C219,63.45,-79.95,90.0,top
C22,117.41,-44.0,90.0,top
C220,65.92,-85.78,135.0,top
C221,68.72,-104.44,90.0,top
C222,68.76,-101.17,90.0,top
C223,68.74,-97.8,90.0,top
C224,68.72,-94.35,90.0,top
C225,68.75,-90.87,90.0,top
C226,68.34,-88.31,135.0,top
C227,71.36,-82.15,90.0,top
C228,71.36,-80.25,90.0,top
C229,71.36,-78.4,90.0,top
C23,111.81,-35.5,135.0,top
C230,71.36,-76.56,90.0,top
C231,71.36,-74.74,90.0,top
C232,71.36,-72.91,90.0,top
C233,71.35,-69.65,90.0,top
C234,71.36,-67.05,90.0,top
C235,71.16,-63.05,90.0,top
C236,76.65,-66.0,180.0,top
C237,73.15,-60.54,180.0,top
C238,70.32,-60.64,0.0,top
C239,71.19,-56.0,90.0,top
C24,107.55,-31.05,135.0,top
C240,73.49,-54.3,180.0,top
C241,76.02,-54.32,180.0,top
C242,79.5,-60.55,180.0,top
C243,81.95,-65.99,180.0,top
C244,84.9,-51.61,225.0,top
C245,83.87,-53.3,90.0,top
C246,88.27,-49.13,315.0,top
C247,90.96,-51.91,315.0,top
C248,93.33,-54.34,315.0,top
C249,91.48,-58.92,225.0,top
C25,102.97,-26.32,135.0,top
C250,88.3,-60.55,180.0,top
C251,84.19,-56.84,270.0,top
C252,84.1,-62.05,90.0,top
C253,84.03,-64.18,90.0,top
C254,85.95,-60.56,180.0,top
C255,84.15,-67.099999,90.0,top
C256,84.16,-69.85,90.0,top
C257,85.95,-71.21,0.0,top
C258,89.28,-67.79,135.0,top
C259,90.78,-69.61,270.0,top
C26,92.4,-34.05,180.0,top
C260,101.51,-63.3,90.0,top
C261,103.2,-75.15,180.0,top
C262,96.81,-68.93,45.0,top
C263,92.52,-71.16,0.0,top
C264,90.71,-75.3,90.0,top
C265,90.7,-77.84,90.0,top
C266,90.7,-80.4,90.0,top
C267,90.71,-82.95,90.0,top
C268,90.7,-85.49,90.0,top
C269,92.33,-89.82,135.0,top
C27,96.46,-35.76,135.0,top
C270,94.47,-91.96,135.0,top
C271,96.62,-94.21,135.0,top
C272,98.68,-96.27,135.0,top
C273,101.71,-100.5,45.0,top
C274,105.35,-104.95,180.0,top
C275,103.23,-98.98,45.0,top
C276,108.13,-93.93,45.0,top
C277,113.02,-88.87,45.0,top
C278,105.71,-69.96,135.0,top
C279,110.53,-75.27,135.0,top
C28,101.26,-42.9,90.0,top
C280,112.23,-76.97,135.0,top
C281,117.55,-75.36,0.0,top
C282,122.45,-75.36,0.0,top
C283,115.63,-80.43,135.0,top
C284,117.6,-82.46,135.0,top
C285,121.77,-87.01,135.0,top
C286,125.06,-90.41,135.0,top
